id,vessel_id,lat,lon,speed,course,status,destination,eta,last_report_at,recorded_at,geom
10210,3,-1.27111,116.8061,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 04:53:00+07,2026-05-17 04:54:18.836195+07,0101000020E61000008F53742497335D409FE579707756F4BF
10217,3,-1.27111,116.8061,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 05:08:00+07,2026-05-17 05:10:05.713673+07,0101000020E61000008F53742497335D409FE579707756F4BF
10221,3,-1.27111,116.80609,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 05:24:00+07,2026-05-17 05:25:34.852985+07,0101000020E61000007DE882FA96335D409FE579707756F4BF
10232,3,-1.27112,116.80609,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 05:41:00+07,2026-05-17 05:42:49.104604+07,0101000020E61000007DE882FA96335D4011AAD4EC8156F4BF
10238,3,-1.2711,116.80611,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 05:57:00+07,2026-05-17 05:58:41.092471+07,0101000020E6100000A1BE654E97335D402D211FF46C56F4BF
10248,3,-1.27112,116.8061,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 06:14:00+07,2026-05-17 06:16:58.612987+07,0101000020E61000008F53742497335D4011AAD4EC8156F4BF
10256,3,-1.27112,116.80611,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 06:30:00+07,2026-05-17 06:31:05.734772+07,0101000020E6100000A1BE654E97335D4011AAD4EC8156F4BF
10265,3,-1.27112,116.8061,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 06:47:00+07,2026-05-17 06:49:36.201899+07,0101000020E61000008F53742497335D4011AAD4EC8156F4BF
10274,3,-1.2711149,116.80611,0,110°,Stopped,"","",2026-05-17 07:02:00+07,2026-05-17 07:06:37.645291+07,0101000020E6100000A1BE654E97335D403D55CF937C56F4BF
10282,3,-1.2711034,116.80612,0,110°,Stopped,"","",2026-05-17 07:24:00+07,2026-05-17 07:26:34.311111+07,0101000020E6100000B329577897335D40BB59CD847056F4BF
10290,3,-1.27109,116.80611,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 07:41:00+07,2026-05-17 07:42:45.402874+07,0101000020E6100000A1BE654E97335D40BC5CC4776256F4BF
10298,3,-1.27111,116.8061,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 08:00:00+07,2026-05-17 08:03:28.772784+07,0101000020E61000008F53742497335D409FE579707756F4BF
10307,3,-1.27109,116.8061,0,110.6°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 08:18:00+07,2026-05-17 08:18:46.89069+07,0101000020E61000008F53742497335D40BC5CC4776256F4BF
10314,3,-1.27033,116.80512,2.4,308.3°,Sailing,"Balikpapan, Indonesia","ATA: May 16, 16:15 UTC",2026-05-17 08:38:00+07,2026-05-17 08:41:04.308809+07,0101000020E6100000C156091687335D40FA0AD28C4553F4BF
10321,3,-1.31674,116.81807,14.4,137.6°,Sailing,"Balikpapan, Indonesia","ETA: May 18, 22:59",2026-05-17 08:56:00+07,2026-05-17 08:58:15.964248+07,0101000020E6100000AEF545425B345D40535C55F65D11F5BF
10329,3,-1.32884,116.88595,13.5,91°,Underway by Sail,"","",2026-05-17 09:15:00+07,2026-05-17 09:21:46.344999+07,0101000020E610000009F9A067B3385D40C2DD59BBED42F5BF
10337,3,-1.37071,116.95113,13.4,142.5°,Sailing,N/A,ETA: -,2026-05-17 09:37:00+07,2026-05-17 09:38:01.273618+07,0101000020E6100000A60F5D50DF3C5D4075CDE49B6DEEF5BF
10344,3,-1.40172,116.97594,13.5,139°,Underway by Sail,"","",2026-05-17 09:47:00+07,2026-05-17 09:52:11.751703+07,0101000020E6100000EDB60BCD753E5D40CC6262F3716DF6BF
10350,3,-1.4657283,116.97008,12.1,215°,Underway by Sail,"","",2026-05-17 10:09:00+07,2026-05-17 10:12:48.303622+07,0101000020E61000003CA06CCA153E5D40972595849F73F7BF
10358,3,-1.51012,116.93844,12.1,211°,Underway by Sail,"","",2026-05-17 10:25:00+07,2026-05-17 10:28:16.30943+07,0101000020E61000008750A5660F3C5D407D91D0967329F8BF
10364,3,-1.5690399,116.91914,12.1,202°,Underway by Sail,"","",2026-05-17 10:43:00+07,2026-05-17 10:45:52.996584+07,0101000020E6100000821C9430D33A5D40E0E70995C91AF9BF
10371,3,-1.6225283,116.90107,12.3,198°,Underway by Sail,"","",2026-05-17 10:59:00+07,2026-05-17 11:05:09.759291+07,0101000020E6100000085A8121AB395D40045A153CE0F5F9BF
10376,3,-1.6941167,116.87914,12.3,197°,Underway by Sail,"","",2026-05-17 11:21:00+07,2026-05-17 11:27:20.143945+07,0101000020E6100000C0266BD443385D4016B8E11C1A1BFBBF
10382,3,-1.7403283,116.86385,12.1,217°,Underway by Sail,"","",2026-05-17 11:35:00+07,2026-05-17 11:44:25.263732+07,0101000020E610000093A9825149375D4039DACC7C62D8FBBF
10391,3,-1.79174,116.84171,12.4,196.9°,Sailing,"Balikpapan, Indonesia","ETA: May 18, 22:59",2026-05-17 11:52:00+07,2026-05-17 12:00:56.414635+07,0101000020E6100000D6AD9E93DE355D40EDF5EE8FF7AAFCBF
10483,3,-2.78491,116.6057,11.8,190.6°,Sailing,"Balikpapan, Indonesia","ETA: May 18, 22:59",2026-05-17 16:53:00+07,2026-05-17 16:58:55.509398+07,0101000020E6100000FBCBEEC9C3265D40486DE2E47E4706C0
10489,3,-2.84594,116.597,11.8,183.4°,Sailing,N/A,ETA: -,2026-05-17 17:11:00+07,2026-05-17 17:14:03.117666+07,0101000020E610000091ED7C3F35265D40A306D3307CC406C0
10502,3,-2.99196,116.56725,11.9,189.4°,Sailing,N/A,ETA: -,2026-05-17 17:56:00+07,2026-05-17 17:58:29.373713+07,0101000020E6100000FCA9F1D24D245D40738577B988EF07C0
10514,3,-3.1286983,116.54129,12.3,187°,Underway by Sail,"","",2026-05-17 18:37:00+07,2026-05-17 18:48:36.737932+07,0101000020E6100000B8E9CF7EA4225D4008686CF9920709C0
10522,3,-3.21743,116.52292,12.6,191.8°,Sailing,N/A,ETA: -,2026-05-17 19:03:00+07,2026-05-17 19:08:20.348112+07,0101000020E6100000289B728577215D40AF5A99F04BBD09C0
10525,3,-3.2787449,116.50986,12.6,194°,Underway by Sail,"","",2026-05-17 19:21:00+07,2026-05-17 19:30:11.973933+07,0101000020E61000007862D68BA1205D40116A2B9BDE3A0AC0
10537,3,-3.38294,116.49167,12.8,191.6°,Sailing,"Surabaya, Indonesia","ETA: May 18, 22:00",2026-05-17 19:50:00+07,2026-05-17 19:51:35.866288+07,0101000020E6100000289B7285771F5D4055A4C2D842100BC0
10541,3,-3.44648,116.47949,13,190.4°,Sailing,"Surabaya, Indonesia","ETA: May 18, 22:00",2026-05-17 20:08:00+07,2026-05-17 20:09:46.326951+07,0101000020E61000009430D3F6AF1E5D406E8B321B64920BC0
10545,3,-3.4494734,116.47899,13.1,189°,Underway by Sail,"","",2026-05-17 20:09:00+07,2026-05-17 20:24:47.687753+07,0101000020E61000001B47ACC5A71E5D401B608B8285980BC0
10560,3,-3.75468,116.41842,12.8,198°,Sailing,"Surabaya, Indonesia","ETA: May 18, 22:00",2026-05-17 21:34:00+07,2026-05-17 21:35:28.766202+07,0101000020E610000082FFAD64C71A5D40EF8FF7AA95090EC0
10563,3,-3.81194,116.40226,12.7,191.3°,Sailing,"Surabaya, Indonesia","ETA: May 18, 22:00",2026-05-17 21:51:00+07,2026-05-17 22:01:36.266601+07,0101000020E61000004B1FBAA0BE195D4090831266DA7E0EC0
10569,3,-3.83562,116.39668,12.7,193.9°,Sailing,"Surabaya, Indonesia","ETA: May 18, 22:00",2026-05-17 21:58:00+07,2026-05-17 22:14:23.623436+07,0101000020E61000008CBE823463195D407311DF8959AF0EC0
10579,3,-4.00044,116.35156,12.5,205.6°,Sailing,"Surabaya, Indonesia","ETA: May 18, 22:00",2026-05-17 22:47:00+07,2026-05-17 23:04:50.627084+07,0101000020E61000003CA583F57F165D40E370E657730010C0
10828,3,-6.2447286,113.64917,13,234°,Underway by Sail,"Surabaya, Indonesia","ETA: May 18, 22:00",2026-05-18 15:38:00+07,2026-05-18 15:51:52.984682+07,0101000020E6100000D6E253008C695C405E9555229AFA18C0
